Time,Category,AvgIncome
1-Oct-05,0,11123.10606
1-Jan-06,0,5977.043386
1-Apr-06,0,5221.326356
1-Jul-06,0,4763.024647
1-Oct-06,0,4317.121723
1-Jan-07,0,4650.050016
1-Apr-07,0,4666.851213
1-Jul-07,0,4590.573755
1-Oct-07,0,4640.526214
1-Oct-07,1,5069.763468
1-Oct-07,2,4498.983333
1-Oct-07,3,5275.048701
1-Oct-07,4,5165.092836
1-Oct-07,5,3562.115385
1-Oct-07,6,2543.611111
1-Oct-07,7,5360.9
1-Jan-08,1,4762.228025
1-Jan-08,2,5936.813686
1-Jan-08,3,5172.350585
1-Jan-08,4,4311.686778
1-Jan-08,5,3125.437229
1-Jan-08,6,3753.62381
1-Jan-08,7,5985.103623
1-Apr-08,1,4398.92562
1-Apr-08,2,5875.164167
1-Apr-08,3,4911.37328
1-Apr-08,4,4246.019471
1-Apr-08,5,2613.905025
1-Apr-08,6,3310.455508
1-Apr-08,7,4458.162927
1-Jul-08,1,4690.549459
1-Jul-08,2,5615.551747
1-Jul-08,3,5339.291205
1-Jul-08,4,3938.786458
1-Jul-08,5,3276.47433
1-Jul-08,6,3824.627493
1-Jul-08,7,4634.396307
1-Oct-08,1,4709.483796
1-Oct-08,2,6892.107143
1-Oct-08,3,6537.247992
1-Oct-08,5,2812.791667
1-Oct-08,6,3331.0625
1-Oct-08,7,4584.644809
1-Apr-09,1,4322.666667
1-Apr-09,3,6166.666667
1-Apr-09,5,1160
1-Apr-09,6,3801.166667
1-Apr-09,7,5992.1875
1-Jul-09,1,5034.796993
1-Jul-09,2,6125.926724
1-Jul-09,3,5325.598611
1-Jul-09,5,3457.862403
1-Jul-09,6,3429.82598
1-Jul-09,7,4620.921371
1-Oct-09,1,5334.989975
1-Oct-09,2,5834.879975
1-Oct-09,3,5955.775433
1-Oct-09,5,3330.411184
1-Oct-09,6,4527.499053
1-Oct-09,7,4861.925201
1-Jan-10,1,5600.869985
1-Jan-10,2,6239.233844
1-Jan-10,3,5797.213735
1-Jan-10,5,3654.374269
1-Jan-10,6,4379.107345
1-Jan-10,7,4753.02442
1-Apr-10,1,5265.288762
1-Apr-10,2,5559.126932
1-Apr-10,3,5387.833885
1-Apr-10,5,3169.624473
1-Apr-10,6,4556.128049
1-Apr-10,7,4588.027927
1-Jul-10,1,5235.786486
1-Jul-10,2,6117.617209
1-Jul-10,3,7100.196429
1-Jul-10,5,3910.666667
1-Jul-10,6,4577.427536
1-Jul-10,7,4972.70927
1-Oct-10,1,5535.410044
1-Oct-10,2,5967.5818
1-Oct-10,3,6163.894444
1-Oct-10,6,4145.426136
1-Oct-10,7,5190.17094
1-Jan-11,0,5194.444445
1-Jan-11,1,5668.633622
1-Jan-11,2,7196.178305
1-Jan-11,3,6527.498227
1-Jan-11,6,4611.582524
1-Jan-11,7,5707.495869
1-Apr-11,0,3765.777778
1-Apr-11,1,6048.47724
1-Apr-11,2,7795.628738
1-Apr-11,3,5652.48657
1-Apr-11,6,4263.189216
1-Apr-11,7,5149.539532
1-Jul-11,0,5375
1-Jul-11,1,5732.698928
1-Jul-11,2,6156.744747
1-Jul-11,3,5158.935897
1-Jul-11,6,4886.305907
1-Jul-11,7,5058.693329
1-Oct-11,0,9166.666667
1-Oct-11,1,5603.090005
1-Oct-11,2,6560.634281
1-Oct-11,3,5465.910078
1-Oct-11,6,4174.470238
1-Oct-11,7,5327.150478
1-Oct-11,8,4333.333333
1-Oct-11,11,3944.444445
1-Oct-11,12,2666.666667
1-Oct-11,13,4595.537879
1-Oct-11,14,11666.66667
1-Oct-11,15,5829.720238
1-Oct-11,18,4375.847222
1-Oct-11,19,2666.666667
1-Oct-11,20,7194.444445
1-Jan-12,1,5599.297863
1-Jan-12,2,5660.470174
1-Jan-12,3,9353.476267
1-Jan-12,6,4115.253472
1-Jan-12,7,4921.301145
1-Jan-12,8,7151.416667
1-Jan-12,9,5279.871795
1-Jan-12,10,4320.416667
1-Jan-12,11,4686.801282
1-Jan-12,12,4492.424242
1-Jan-12,13,4352.552959
1-Jan-12,14,5412.99359
1-Jan-12,15,5682.457506
1-Jan-12,16,4312.515027
1-Jan-12,17,5848.840909
1-Jan-12,18,6044.862562
1-Jan-12,19,5520.727528
1-Jan-12,20,7462.840625
1-Apr-12,1,5640.756113
1-Apr-12,2,6373.293143
1-Apr-12,3,5902.524113
1-Apr-12,6,4246.594907
1-Apr-12,7,4965.547792
1-Apr-12,8,4696.268116
1-Apr-12,9,5838.797619
1-Apr-12,10,3928.712121
1-Apr-12,11,6862.068966
1-Apr-12,12,7095.833333
1-Apr-12,13,4950.562358
1-Apr-12,14,5699.204212
1-Apr-12,15,5092.476254
1-Apr-12,16,4689.401709
1-Apr-12,17,2957.611111
1-Apr-12,18,8153.077263
1-Apr-12,19,4805.954277
1-Apr-12,20,5303.077381
1-Jul-12,0,3541.666667
1-Jul-12,1,5766.198529
1-Jul-12,2,6612.965717
1-Jul-12,3,5675.076735
1-Jul-12,6,4377.145833
1-Jul-12,7,5142.652116
1-Jul-12,8,5631.441176
1-Jul-12,9,4408.862745
1-Jul-12,10,4460.269231
1-Jul-12,11,5250.616162
1-Jul-12,12,6016.194444
1-Jul-12,13,5005.529339
1-Jul-12,14,5860.532801
1-Jul-12,15,5514.150077
1-Jul-12,16,5082.861111
1-Jul-12,17,5136.2
1-Jul-12,18,7385.854651
1-Jul-12,19,5580.567876
1-Jul-12,20,6102.244648
1-Oct-12,0,2708.333334
1-Oct-12,1,5650.862655
1-Oct-12,2,6324.609756
1-Oct-12,3,6377.012758
1-Oct-12,6,4232.863757
1-Oct-12,7,5560.221136
1-Oct-12,8,6000.996212
1-Oct-12,9,4720.444445
1-Oct-12,10,3600
1-Oct-12,11,6243.379032
1-Oct-12,12,5746.866667
1-Oct-12,13,4989.352286
1-Oct-12,14,5725.317029
1-Oct-12,15,5356.392012
1-Oct-12,16,5341.886364
1-Oct-12,17,4666.666667
1-Oct-12,18,7488.913043
1-Oct-12,19,5690.590183
1-Oct-12,20,5996.853704
1-Jan-13,1,6036.219525
1-Jan-13,2,7230.09912
1-Jan-13,3,8864.190476
1-Jan-13,6,5195.406393
1-Jan-13,7,6850.979873
1-Jan-13,8,6526.315217
1-Jan-13,9,8013.333333
1-Jan-13,10,5161.291667
1-Jan-13,11,6744.221014
1-Jan-13,12,5204.166667
1-Jan-13,13,5021.815634
1-Jan-13,14,6300.722727
1-Jan-13,15,5450.413105
1-Jan-13,16,6752.604167
1-Jan-13,17,5958.333333
1-Jan-13,18,8460.029963
1-Jan-13,19,5049.081761
1-Jan-13,20,5523.827869
1-Apr-13,0,7386.666667
1-Apr-13,1,6130.912943
1-Apr-13,2,6561.407422
1-Apr-13,3,6684.710106
1-Apr-13,6,5369.126667
1-Apr-13,7,5514.558397
1-Apr-13,8,6892.201389
1-Apr-13,9,6342.570513
1-Apr-13,10,3807.407407
1-Apr-13,11,5529.166667
1-Apr-13,12,5361.111111
1-Apr-13,13,5402.033333
1-Apr-13,14,6047.307018
1-Apr-13,15,5643.686242
1-Apr-13,16,4955.426587
1-Apr-13,17,8330.416667
1-Apr-13,18,7182.473485
1-Apr-13,19,4813.987972
1-Apr-13,20,5718.296448
1-Jul-13,0,3763.888889
1-Jul-13,1,6055.319348
1-Jul-13,2,7155.051377
1-Jul-13,3,6725.379002
1-Jul-13,6,5446.356918
1-Jul-13,7,5800.553648
1-Jul-13,8,5799.229167
1-Jul-13,9,6479.333333
1-Jul-13,10,6291.666667
1-Jul-13,11,6265.25641
1-Jul-13,12,4989.583333
1-Jul-13,13,5899.556159
1-Jul-13,14,6103.245955
1-Jul-13,15,6022.958904
1-Jul-13,16,6070.905797
1-Jul-13,17,8152.777778
1-Jul-13,18,7746.918776
1-Jul-13,19,5329.014205
1-Jul-13,20,6246.265432
1-Oct-13,1,6105.410311
1-Oct-13,2,7114.81868
1-Oct-13,3,6750.150664
1-Oct-13,6,4528.97338
1-Oct-13,7,5519.335918
1-Oct-13,8,8749.870098
1-Oct-13,9,7088.333333
1-Oct-13,11,6478.645833
1-Oct-13,12,7650.535714
1-Oct-13,13,6217.370624
1-Oct-13,14,6540.686306
1-Oct-13,15,5869.718391
1-Oct-13,16,4949.730769
1-Oct-13,17,10125
1-Oct-13,18,8795.242754
1-Oct-13,19,5739.401826
1-Oct-13,20,5918.142857
1-Jan-14,0,6875
1-Jan-14,1,6314.568558
1-Jan-14,2,7380.476166
1-Jan-14,3,6485.400331
1-Jan-14,6,5071.48
1-Jan-14,7,6033.058099
1-Jan-14,8,5931.572917
1-Jan-14,9,5601.361111
1-Jan-14,11,8778.356481
1-Jan-14,12,4578.333333
1-Jan-14,13,5486.654167
1-Jan-14,14,5964.807527
1-Jan-14,15,6427.901072
1-Jan-14,16,4859.153846
1-Jan-14,17,5053.571428
1-Jan-14,18,8307.067029
1-Jan-14,19,5421.294643
1-Jan-14,20,6259.440603
